Date,Day,Venue,Team,Opponent,Name,Start,Pos,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xA,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,T_att,T_succ,Season,WDL,Team_score,Opp_score,Team_CS,Was_home,GW,Clean_name,FPL_name,FPL_team,FPL_opp_team,Name_original,FPL_pos,FPL_ast,Bonus,Bps,Player_CS,Creativity,Element,Fixture,Player_GC,Goals_scored,ICT_index,Influence,Kickoff_time,FPL_min,Own_goals,Penalties_missed,Penalties_saved,Saves,Selected,Threat,FPL_points,Transfers_balance,Transfers_in,Transfers_out,Value,FPL_GW,xP,FPL_xA,FPL_xGI,FPL_xG,FPL_xGC,Opp_rating,Team_rating,Min_points,clean_name,citizenship,main_position,is_ramadan,days_into_ramadan
2022-02-26,Sat,Home,Everton,Manchester City,Alex-Iwobi,Y,RW,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,3.0,1.0,0.0,0.0,0.0,0.2,3.0,0.0,14.0,21.0,66.7,3.0,22.0,1.0,3.0,2.0,2021-22,L,0,1,0.0,1.0,27,Alex-Iwobi,Alex-Iwobi,Everton,Man City,Alex Iwobi,MID,0.0,0.0,8.0,0.0,24.8,174.0,266.0,1.0,0.0,4.2,15.2,2022-02-26T17:30:00Z,87.0,0.0,0.0,0.0,0.0,14642.0,2.0,2.0,-43.0,163.0,206.0,5.8,27.0,,,,,,2019.44116211,1704.05126953,True,Alex Iwobi,Nigeria  England,Attack,False,0
2022-03-07,Mon,Away,Everton,Tottenham,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,0,5,0.0,0.0,28,Alex-Iwobi,Alex-Iwobi,Everton,Spurs,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,278.0,0.0,0.0,0.0,0.0,2022-03-07T20:00:00Z,0.0,0.0,0.0,0.0,0.0,14701.0,0.0,0.0,7.0,243.0,236.0,5.8,28.0,,,,,,1804.94934082,1701.6875,False,Alex Iwobi,Nigeria  England,Attack,False,0
2022-03-13,Sun,Home,Everton,Wolves,Alex-Iwobi,N,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-22,L,0,1,0.0,1.0,29,Alex-Iwobi,Alex-Iwobi,Everton,Wolves,Alex Iwobi,MID,0.0,0.0,0.0,0.0,0.0,174.0,286.0,0.0,0.0,0.0,0.0,2022-03-13T14:00:00Z,0.0,0.0,0.0,0.0,0.0,15089.0,0.0,0.0,212.0,472.0,260.0,5.8,29.0,,,,,,1773.75354004,1692.1628418,False,Alex Iwobi,Nigeria  England,Attack,False,0
2022-03-17,Thu,Home,Everton,Newcastle Utd,Alex-Iwobi,Y,"RW,RM",90.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,33.0,2.0,1.0,2.0,0.2,0.2,0.0,1.0,1.0,15.0,18.0,83.3,2.0,14.0,2.0,1.0,0.0,2021-22,W,1,0,1.0,1.0,20,Alex-Iwobi,Alex-Iwobi,Everton,Newcastle,Alex Iwobi,MID,0.0,2.0,27.0,1.0,6.1,174.0,195.0,0.0,1.0,6.4,40.8,2022-03-17T19:45:00Z,90.0,0.0,0.0,0.0,0.0,15089.0,17.0,10.0,212.0,472.0,260.0,5.8,29.0,,,,,,1727.16381836,1681.69604492,True,Alex Iwobi,Nigeria  England,Attack,False,0
2022-04-03,Sun,Away,Everton,West Ham,Alex-Iwobi,Y,"LM,CM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,2.0,0.0,0.0,0.1,4.0,0.0,48.0,56.0,85.7,12.0,47.0,1.0,0.0,0.0,2021-22,L,1,2,0.0,0.0,31,Alex-Iwobi,Alex-Iwobi,Everton,West Ham,Alex Iwobi,MID,0.0,0.0,15.0,0.0,48.3,174.0,309.0,2.0,0.0,6.0,9.6,2022-04-03T13:00:00Z,90.0,0.0,0.0,0.0,0.0,20215.0,2.0,2.0,4853.0,5209.0,356.0,5.8,31.0,,,,,,1823.2434082,1694.76379395,True,Alex Iwobi,Nigeria  England,Attack,True,2
2022-04-06,Wed,Away,Everton,Burnley,Alex-Iwobi,Y,"LM,DM",90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,33.0,44.0,75.0,7.0,37.0,4.0,3.0,3.0,2021-22,L,2,3,0.0,0.0,19,Alex-Iwobi,Alex-Iwobi,Everton,Burnley,Alex Iwobi,MID,0.0,0.0,16.0,0.0,18.3,174.0,183.0,3.0,0.0,3.5,10.6,2022-04-06T18:30:00Z,90.0,0.0,0.0,0.0,0.0,20215.0,6.0,2.0,4853.0,5209.0,356.0,5.8,31.0,,,,,,1688.59973145,1691.81665039,True,Alex Iwobi,Nigeria  England,Attack,True,5
2022-04-09,Sat,Home,Everton,Manchester Utd,Alex-Iwobi,Y,LM,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,1.0,2.0,1.0,0.0,0.0,0.1,1.0,0.0,21.0,32.0,65.6,3.0,26.0,2.0,0.0,0.0,2021-22,W,1,0,1.0,1.0,32,Alex-Iwobi,Alex-Iwobi,Everton,Man Utd,Alex Iwobi,MID,0.0,0.0,9.0,1.0,15.7,174.0,314.0,0.0,0.0,2.5,7.2,2022-04-09T11:30:00Z,90.0,0.0,0.0,0.0,0.0,18587.0,2.0,3.0,-1554.0,363.0,1917.0,5.8,32.0,,,,,,1861.16418457,1679.79248047,True,Alex Iwobi,Nigeria  England,Attack,True,8
2022-04-20,Wed,Home,Everton,Leicester City,Alex-Iwobi,Y,"LM,RM",90.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,40.0,1.0,0.0,3.0,0.2,0.2,0.1,5.0,0.0,24.0,30.0,80.0,6.0,23.0,5.0,3.0,2.0,2021-22,D,1,1,0.0,1.0,18,Alex-Iwobi,Alex-Iwobi,Everton,Leicester,Alex Iwobi,MID,0.0,0.0,9.0,0.0,22.7,174.0,172.0,1.0,0.0,5.4,8.0,2022-04-20T18:45:00Z,90.0,0.0,0.0,0.0,0.0,17838.0,23.0,2.0,-742.0,626.0,1368.0,5.8,33.0,,,,,,1800.54223633,1700.67346191,True,Alex Iwobi,Nigeria  England,Attack,True,19
2022-04-24,Sun,Away,Everton,Liverpool,Alex-Iwobi,Y,"LM,RM",90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,2.0,1.0,2.0,0.0,0.0,0.1,2.0,0.0,10.0,15.0,66.7,2.0,11.0,1.0,2.0,1.0,2021-22,L,0,2,0.0,0.0,34,Alex-Iwobi,Alex-Iwobi,Everton,Liverpool,Alex Iwobi,MID,0.0,0.0,7.0,0.0,24.2,174.0,338.0,2.0,0.0,4.0,9.8,2022-04-24T15:30:00Z,90.0,0.0,0.0,0.0,0.0,17316.0,6.0,2.0,-695.0,228.0,923.0,5.8,34.0,,,,,,2050.61425781,1702.34753418,True,Alex Iwobi,Nigeria  England,Attack,True,23
2022-05-01,Sun,Home,Everton,Chelsea,Alex-Iwobi,Y,RB,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,24.0,34.0,70.6,3.0,17.0,0.0,1.0,1.0,2021-22,W,1,0,1.0,1.0,35,Alex-Iwobi,Alex-Iwobi,Everton,Chelsea,Alex Iwobi,MID,0.0,0.0,13.0,1.0,11.3,174.0,342.0,0.0,0.0,2.5,12.0,2022-05-01T13:00:00Z,90.0,0.0,0.0,0.0,0.0,17437.0,2.0,3.0,4.0,534.0,530.0,5.8,35.0,,,,,,1926.09472656,1698.86120605,True,Alex Iwobi,Nigeria  England,Attack,True,30
