player_id,player_name,citizenship,position,main_position
450895,Christophe Atangana (450895),Cameroon  Spain,Goalkeeper,Goalkeeper
45109,Djibril Konaté (45109),Mali  France,Defender - Centre-Back,Defender
451142,Moisés Eboko (451142),Spain  Equatorial Guinea,Attack - Centre-Forward,Attack
45117,Abdul Aziz Nikiema (45117),Burkina Faso  France,Midfield - Left Midfield,Midfield
451254,İsmail Can Çavuşluk (451254),Türkiye,Midfield - Attacking Midfield,Midfield
451306,Maxime Biamou (451306),France  Cameroon,Attack - Centre-Forward,Attack
451380,Berkan Taz (451380),Germany  Türkiye,Midfield - Attacking Midfield,Midfield
451426,Lassana Diakhaby (451426),Mauritania  France,Defender - Centre-Back,Defender
45149,Abdoulaye Baldé (45149),France  Senegal,Attack - Centre-Forward,Attack
451642,Can Keleş (451642),Austria  Türkiye,Attack - Right Winger,Attack
45167,Fousseiny Tangara (45167),Mali  France,Goalkeeper,Goalkeeper
451801,Abdul Mumin (451801),Ghana  Nigeria,Defender - Centre-Back,Defender
451981,Mohamed Mezghrani (451981),Belgium  Algeria,Attack - Left Winger,Attack
452069,Marc Lamti (452069),Tunisia  Germany,Defender - Centre-Back,Defender
452068,Ayman Azhil (452068),Morocco  Germany,Midfield - Defensive Midfield,Midfield
452084,Ahmed Kutucu (452084),Türkiye  Germany,Attack - Left Winger,Attack
45213,İlkay Demir (45213),Türkiye,Attack - Centre-Forward,Attack
45214,Cenk Gönen (45214),Türkiye,Goalkeeper,Goalkeeper
452165,Manoubi Haddad (452165),Tunisia  France,Attack - Left Winger,Attack
45217,Osman Kodalak (45217),Türkiye,Defender - Centre-Back,Defender
452201,Ali Çırak (452201),Türkiye  Germany,Defender - Centre-Back,Defender
45221,Sezer Sezgin (45221),Türkiye,Defender - Left-Back,Defender
452211,Gökay Güney (452211),Türkiye,Defender - Centre-Back,Defender
452238,Samuel Oum Gouet (452238),Cameroon,Midfield - Defensive Midfield,Midfield
452268,Uzed Guendez (452268),France  Algeria,Midfield - Attacking Midfield,Midfield
45227,Mehmet Uslu (45227),Türkiye,Defender - Left-Back,Defender
45226,Hüseyin Tok (45226),Türkiye,Defender - Centre-Back,Defender
452392,Robert Voloder (452392),Germany  Bosnia-Herzegovina,Defender - Centre-Back,Defender
452560,Ismajl Beka (452560),Kosovo  Switzerland,Defender - Centre-Back,Defender
45254,Youssef Adnane (45254),France  Morocco,Attack - Centre-Forward,Attack
452563,Eric Voufack (452563),Germany  Cameroon,Defender - Right-Back,Defender
45259,Alharbi El Jadeyaoui (45259),Morocco  France,Attack - Left Winger,Attack
452607,Alexander Bah (452607),Denmark  The Gambia,Defender - Right-Back,Defender
45279,Ibrahim Maaroufi (45279),Morocco  Belgium,Midfield - Defensive Midfield,Midfield
45287,Adel Taarabt (45287),Morocco  France,Midfield - Central Midfield,Midfield
452878,Adil Lebrun (452878),France  Morocco,Midfield - Attacking Midfield,Midfield
452877,Mehdi Merghem (452877),Algeria  France,Attack - Right Winger,Attack
